season_id,title,score,eps,area,status,season_type
33343,天气之子,9.6,0,海外,2019年11月1日上映,番剧
32779,哆啦A梦 第三季,9.8,294,海外,全294话,番剧
48852,关于我转生变成史莱姆这档事 第三季,7.6,24,海外,全24话,番剧
37595,小猪佩奇 第一季 英文版,9.4,52,海外,全52话,番剧
80512,Ｄｒ．ＳＴＯＮＥ 石纪元 (第四季),9.9,24,海外,全24话,番剧
688,邻座的怪同学,9.6,13,海外,全13话,番剧
4262,玉子市场,9.8,12,海外,全12话,番剧
26223,小马宝莉 友谊的魔力 第八季（中配）,9.7,26,海外,全26话,番剧
34433,我立于百万生命之上,8.3,12,海外,全12话,番剧
38924,瓦尼塔斯的手记,9.7,24,海外,全24话,番剧
5872,越狱兔 第5季,9.7,13,海外,全13话,番剧
5871,越狱兔 第4季,9.7,13,海外,全13话,番剧
5870,越狱兔 第3季,9.7,13,海外,全13话,番剧
5869,越狱兔 第2季,9.7,13,海外,全13话,番剧
2033,越狱兔 第1季,9.8,29,海外,全29话,番剧
41416,式守同学不只可爱而已,8.1,12,海外,全12话,番剧
2667,我女友与青梅竹马的惨烈修罗场,8.9,13,海外,全13话,番剧
